case_name,degradation_mode,T1_K,P1_Pa,T2_K,P2_Pa,T3_K,P3_Pa,T4_K,P4_Pa,w_compressor_kJ_kg,w_turbine_kJ_kg,w_net_kJ_kg,fuel_air_ratio,fuel_flow_kg_s,mdot_air_kg_s,mdot_gas_kg_s,power_compressor_MW,power_turbine_MW,gross_power_MW,net_power_MW,heat_input_MW,thermal_efficiency,heat_rate_kJ_kWh,exhaust_temperature_K,exhaust_energy_MW,specific_power_kW_per_kgps,converged,status
PR_6.0,clean,  2.88150000E+02,  1.00311750E+05,  5.12139865E+02,  6.01870500E+05,  1.40000000E+03,  5.83814385E+05,  9.62480534E+02,  1.03351500E+05,  2.24997819E+02,  5.02272347E+02,  2.77274528E+02,  2.30574160E-02,  2.30574160E+00,  1.00000000E+02,  1.02305742E+02,  2.24997819E+01,  5.13853449E+01,  2.81677568E+01,  2.76044016E+01,  1.15287080E+02,  2.39440548E-01,  1.50350474E+04,  9.62480534E+02,  7.91980924E+01,  2.76044016E+02,1,ok
PR_8.0,clean,  2.88150000E+02,  1.00311750E+05,  5.60032032E+02,  8.02494000E+05,  1.40000000E+03,  7.78419180E+05,  9.06416508E+02,  1.03351500E+05,  2.73105501E+02,  5.66633848E+02,  2.93528347E+02,  2.20423318E-02,  2.20423318E+00,  1.00000000E+02,  1.02204233E+02,  2.73105501E+01,  5.79123780E+01,  2.98413724E+01,  2.92445450E+01,  1.10211659E+02,  2.65348922E-01,  1.35670421E+04,  9.06416508E+02,  7.25414936E+01,  2.92445450E+02,1,ok
PR_10.0,clean,  2.88150000E+02,  1.00311750E+05,  5.99987850E+02,  1.00311750E+06,  1.40000000E+03,  9.73023975E+05,  8.65621380E+02,  1.03351500E+05,  3.13241120E+02,  6.13466656E+02,  3.00225536E+02,  2.11954602E-02,  2.11954602E+00,  1.00000000E+02,  1.02119546E+02,  3.13241120E+01,  6.26469364E+01,  3.05444522E+01,  2.99335632E+01,  1.05977301E+02,  2.82452591E-01,  1.27455018E+04,  8.65621380E+02,  6.76988402E+01,  2.99335632E+02,1,ok
PR_12.0,clean,  2.88150000E+02,  1.00311750E+05,  6.34579011E+02,  1.20374100E+06,  1.40000000E+03,  1.16762877E+06,  8.33936767E+02,  1.03351500E+05,  3.47987941E+02,  6.49840591E+02,  3.01852650E+02,  2.04622935E-02,  2.04622935E+00,  1.00000000E+02,  1.02046229E+02,  3.47987941E+01,  6.63137820E+01,  3.07318404E+01,  3.01172036E+01,  1.02311468E+02,  2.94367819E-01,  1.22295977E+04,  8.33936767E+02,  6.39384129E+01,  3.01172036E+02,1,ok
PR_14.0,clean,  2.88150000E+02,  1.00311750E+05,  6.65264567E+02,  1.40436450E+06,  1.40000000E+03,  1.36223356E+06,  8.08250984E+02,  1.03351500E+05,  3.78811583E+02,  6.79327871E+02,  3.00516288E+02,  1.98119069E-02,  1.98119069E+00,  1.00000000E+02,  1.01981191E+02,  3.78811583E+01,  6.92786651E+01,  3.06172788E+01,  3.00049332E+01,  9.90595346E+01,  3.02897983E-01,  1.18851897E+04,  8.08250984E+02,  6.08905142E+01,  3.00049332E+02,1,ok
PR_16.0,clean,  2.88150000E+02,  1.00311750E+05,  6.92960217E+02,  1.60498800E+06,  1.40000000E+03,  1.55683836E+06,  7.86786600E+02,  1.03351500E+05,  4.06631863E+02,  7.03968983E+02,  2.97337120E+02,  1.92248920E-02,  1.92248920E+00,  1.00000000E+02,  1.01922489E+02,  4.06631863E+01,  7.17502711E+01,  3.03145707E+01,  2.97082793E+01,  9.61244600E+01,  3.09060559E-01,  1.16482026E+04,  7.86786600E+02,  5.83439814E+01,  2.97082793E+02,1,ok
PR_18.0,clean,  2.88150000E+02,  1.00311750E+05,  7.18282167E+02,  1.80561150E+06,  1.40000000E+03,  1.75144316E+06,  7.68438948E+02,  1.03351500E+05,  4.32067762E+02,  7.25032088E+02,  2.92964326E+02,  1.86881881E-02,  1.86881881E+00,  1.00000000E+02,  1.01868819E+02,  4.32067762E+01,  7.38581624E+01,  2.98896993E+01,  2.92919053E+01,  9.34409407E+01,  3.13480419E-01,  1.14839709E+04,  7.68438948E+02,  5.61675850E+01,  2.92919053E+02,1,ok
PR_20.0,clean,  2.88150000E+02,  1.00311750E+05,  7.41666904E+02,  2.00623500E+06,  1.40000000E+03,  1.94604795E+06,  7.52477663E+02,  1.03351500E+05,  4.55557730E+02,  7.43355643E+02,  2.87797913E+02,  1.81925439E-02,  1.81925439E+00,  1.00000000E+02,  1.01819254E+02,  4.55557730E+01,  7.56879173E+01,  2.93833605E+01,  2.87956933E+01,  9.09627195E+01,  3.16565880E-01,  1.13720405E+04,  7.52477663E+02,  5.42745659E+01,  2.87956933E+02,1,ok
PR_22.0,clean,  2.88150000E+02,  1.00311750E+05,  7.63436027E+02,  2.20685850E+06,  1.40000000E+03,  2.14065275E+06,  7.38396408E+02,  1.03351500E+05,  4.77424814E+02,  7.59520924E+02,  2.82096110E+02,  1.77311429E-02,  1.77311429E+00,  1.00000000E+02,  1.01773114E+02,  4.77424814E+01,  7.72988098E+01,  2.88218536E+01,  2.82454166E+01,  8.86557147E+01,  3.18596682E-01,  1.12995527E+04,  7.38396408E+02,  5.26047800E+01,  2.82454166E+02,1,ok
PR_24.0,clean,  2.88150000E+02,  1.00311750E+05,  7.83834002E+02,  2.40748200E+06,  1.40000000E+03,  2.33525754E+06,  7.25830722E+02,  1.03351500E+05,  4.97914580E+02,  7.73946331E+02,  2.76031751E+02,  1.72988037E-02,  1.72988037E+00,  1.00000000E+02,  1.01729880E+02,  4.97914580E+01,  7.87334677E+01,  2.82228007E+01,  2.76583447E+01,  8.64940186E+01,  3.19771762E-01,  1.12580297E+04,  7.25830722E+02,  5.11149382E+01,  2.76583447E+02,1,ok
PR_26.0,clean,  2.88150000E+02,  1.00311750E+05,  8.03051438E+02,  2.60810550E+06,  1.40000000E+03,  2.52986233E+06,  7.14510145E+02,  1.03351500E+05,  5.17218495E+02,  7.86942354E+02,  2.69723859E+02,  1.68914863E-02,  1.68914863E+00,  1.00000000E+02,  1.01689149E+02,  5.17218495E+01,  8.00234980E+01,  2.75983525E+01,  2.70463855E+01,  8.44574313E+01,  3.20236894E-01,  1.12416779E+04,  7.14510145E+02,  4.97729178E+01,  2.70463855E+02,1,ok
PR_28.0,clean,  2.88150000E+02,  1.00311750E+05,  8.21240114E+02,  2.80872900E+06,  1.40000000E+03,  2.72446713E+06,  7.04228831E+02,  1.03351500E+05,  5.35489020E+02,  7.98745302E+02,  2.63256283E+02,  1.65059736E-02,  1.65059736E+00,  1.00000000E+02,  1.01650597E+02,  5.35489020E+01,  8.11929371E+01,  2.69570809E+01,  2.64179393E+01,  8.25298680E+01,  3.20101557E-01,  1.12464308E+04,  7.04228831E+02,  4.85542716E+01,  2.64179393E+02,1,ok
PR_30.0,clean,  2.88150000E+02,  1.00311750E+05,  8.38523052E+02,  3.00935250E+06,  1.40000000E+03,  2.91907192E+06,  6.94826740E+02,  1.03351500E+05,  5.52849730E+02,  8.09538902E+02,  2.56689172E+02,  1.61396582E-02,  1.61396582E+00,  1.00000000E+02,  1.01613966E+02,  5.52849730E+01,  8.22604583E+01,  2.63051445E+01,  2.57790416E+01,  8.06982912E+01,  3.19449659E-01,  1.12693813E+04,  6.94826740E+02,  4.74399938E+01,  2.57790416E+02,1,ok
